Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
CL Vincent (SA),47736,1927-1935,25,2631,84,31.32,2.69,69.6,3,0
WR Hammond (ENG),14022,1927-1947,85,3138,83,37.8,2.36,96,2,0
Wahab Riaz (PAK),43590,2010-2018,27,2864,83,34.5,3.42,60.4,2,0
FE Woolley (ENG),22518,1909-1934,64,2815,83,33.91,2.6,78.2,4,1
GA Faulkner (SA),45039,1906-1924,25,2180,82,26.58,3.09,51.5,4,0
JEC Franklin (NZ),37004,2001-2013,31,2786,82,33.97,3.5,58.1,3,0
GOB Allen (ENG),8515,1930-1948,25,2379,81,29.37,3.25,54.1,5,1
MVT Fernando (SL),465783,2016-2025,28,2595,81,32.03,3.52,54.5,1,0
JL Pattinson (AUS),272465,2011-2020,21,2133,81,26.33,3.22,48.9,4,0
AM Fernando (SL),786925,2021-2025,24,2187,80,27.33,3.52,46.5,2,1
Hasan Ali (PAK),681305,2017-2025,25,2213,80,27.66,3.04,54.4,6,1
KA Jamieson (NZ),625960,2020-2024,19,1579,80,19.73,2.66,44.4,5,1
L Klusener (SA),45821,1996-2004,49,3033,80,37.91,2.64,86,1,0
RW Price (ZIM),55698,1999-2013,22,2885,80,36.06,2.82,76.6,5,1
DJ Brown (ENG),9252,1965-1969,26,2237,79,28.31,2.63,64.5,2,0
Mushtaq Mohammad (PAK),41318,1959-1979,57,2309,79,29.22,2.63,66.5,3,0
JV Saunders (AUS),7564,1902-1908,14,1796,79,22.73,3.02,45.1,6,0
RJ Sidebottom (ENG),20187,2001-2010,22,2231,79,28.24,2.78,60.9,5,1
G Dymock (AUS),4999,1974-1980,21,2116,78,27.12,2.28,71,5,1
H Larwood (ENG),16207,1926-1933,21,2212,78,28.35,2.67,63.7,4,1
Mashrafe Mortaza (BAN),56007,2001-2009,36,3239,78,41.52,3.24,76.7,0,0
GE Palmer (AUS),7071,1880-1886,17,1678,78,21.51,2.22,57.9,6,2
MJ Santner (NZ),502714,2015-2025,32,2603,78,33.37,2.81,71.1,2,1
JA Warrican (WI),432214,2015-2025,23,2302,78,29.51,3.03,58.2,2,1
M Jansen (SA),696401,2021-2025,19,1759,77,22.84,3.44,39.8,3,1
