Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
Kuldeep Yadav (IND),559235,2017-2025,15,1475,68,21.69,3.52,36.9,5,0
Mahmood Hussain (PAK),41267,1952-1962,27,2628,68,38.64,2.66,86.9,2,0
HK Olonga (ZIM),55675,1995-2002,30,2620,68,38.52,3.49,66.2,2,0
Shoaib Bashir (ENG),1334872,2024-2025,19,2652,68,39,3.78,61.7,4,0
B Muzarabani (ZIM),827051,2017-2025,18,1756,67,26.2,3.33,47.1,3,0
PI Pocock (ENG),18557,1968-1985,25,2976,67,44.41,2.68,99.2,3,0
Sikander Bakht (PAK),42661,1976-1983,26,2412,67,36,2.97,72.6,3,1
ER Dexter (ENG),11886,1958-1968,62,2306,66,34.93,2.6,80.5,0,0
AP Freeman (ENG),12918,1924-1929,12,1707,66,25.86,2.74,56.5,5,3
JD Higgs (AUS),5652,1978-1981,22,2057,66,31.16,2.59,72,2,0
ND Hirwani (IND),29299,1988-1996,17,1987,66,30.1,2.77,65.1,4,1
Mudassar Nazar (PAK),41308,1976-1989,76,2532,66,38.36,2.54,90.4,1,0
JS Patel (NZ),38141,2006-2017,24,3078,65,47.35,3.16,89.7,1,0
Sajid Khan (PAK),1062812,2021-2025,14,1880,65,28.92,3.42,50.6,4,2
WJ Whitty (AUS),8222,1909-1912,14,1373,65,21.12,2.45,51.6,3,0
E Jones (AUS),6046,1894-1902,19,1857,64,29.01,2.96,58.6,3,1
LS Pascoe (AUS),7083,1977-1982,14,1668,64,26.06,2.94,53.1,1,0
RWV Robins (ENG),19450,1929-1937,19,1758,64,27.46,3.17,51.8,1,0
AEE Vogler (SA),47739,1906-1911,15,1455,64,22.73,3.15,43.1,5,1
DNT Zoysa (SL),51050,1997-2004,30,2157,64,33.7,2.92,69,1,0
AAP Atkinson (ENG),1039481,2024-2025,13,1387,63,22.01,3.68,35.8,4,1
Azeem Hafeez (PAK),39021,1983-1985,18,2204,63,34.98,3.03,69,4,0
NM Hauritz (AUS),5593,2004-2010,17,2204,63,34.98,3.14,66.6,2,0
B Kumar (IND),326016,2013-2018,21,1644,63,26.09,2.94,53.1,4,0
JH Sinclair (SA),47195,1896-1911,25,1996,63,31.68,3.32,57.1,1,0
SM Boland (AUS),446548,2021-2025,14,1025,62,16.53,2.75,36,2,1
FJ Cameron (NZ),36599,1961-1965,19,1849,62,29.82,2.42,73.7,3,0
DG Phadkar (IND),32309,1947-1959,31,2285,62,36.85,2.28,96.6,3,0
WKM Benjamin (WI),51220,1987-1995,21,1648,61,27.01,2.67,60.5,0,0
JJ Ferris (AUS/ENG),5225,1887-1892,9,775,61,12.7,2.01,37.7,6,1
GRJ Matthews (AUS),6525,1983-1993,33,2942,61,48.22,2.81,102.8,2,1
C Sharma (IND),33949,1984-1989,23,2163,61,35.45,3.74,56.8,4,1
PJ Wiseman (NZ),38753,1998-2005,25,2903,61,47.59,3.07,92.7,2,0
JM Blanckenberg (SA),44082,1913-1924,18,1817,60,30.28,2.8,64.8,4,0
KD Boyce (WI),51229,1971-1976,21,1801,60,30.01,3.08,58.3,2,1
K Farnes (ENG),12812,1934-1939,15,1719,60,28.65,2.62,65.5,3,1
DW Headley (ENG),14127,1997-1999,15,1671,60,27.85,3.31,50.4,1,0
G Miller (ENG),17025,1976-1984,34,1859,60,30.98,2.16,85.8,1,0
Naseem Shah (PAK),1158088,2019-2024,20,2108,60,35.13,3.7,56.8,1,0
JDP Oram (NZ),38062,2002-2009,33,1983,60,33.05,2.39,82.7,0,0
AU Rashid (ENG),244497,2015-2019,19,2390,60,39.83,3.75,63.6,2,0
BE Congdon (NZ),36611,1965-1978,61,2154,59,36.5,2.29,95.2,1,0
ALF de Mel (SL),48447,1982-1986,17,2180,59,36.94,3.71,59.6,3,0
GH Hirst (ENG),14220,1897-1909,24,1770,59,30,2.64,67.9,3,0
SP Jones (ENG),15555,2002-2005,18,1666,59,28.23,3.54,47.8,3,0
D Olivier (SA),486679,2017-2024,16,1432,59,24.27,3.74,38.8,3,1
Pervez Sajjad (PAK),42324,1964-1973,19,1410,59,23.89,2.04,70.2,3,0
ME Waugh (AUS),8189,1991-2002,128,2429,59,41.16,3,82.2,1,0
C White (ENG),22403,1994-2002,30,2220,59,37.62,3.36,67.1,3,0
AB Agarkar (IND),26184,1998-2006,26,2745,58,47.32,3.39,83.7,1,0
AJ Bichel (AUS),4146,1997-2003,19,1870,58,32.24,3.36,57.5,1,0
LN Constantine (WI),51483,1928-1939,18,1746,58,30.1,2.92,61.7,2,0
GE Gomez (WI),51893,1939-1954,29,1590,58,27.41,1.82,90.2,1,1
PS Heine (SA),45428,1955-1962,14,1455,58,25.08,2.24,67,4,0
NBF Mann (SA),46168,1947-1951,19,1920,58,33.1,1.98,99.9,1,0
AD Mullally (ENG),17121,1996-2001,19,1812,58,31.24,2.4,78,1,0
L Ngidi (SA),542023,2018-2025,20,1356,58,23.37,3.15,44.4,3,0
KR Pushpakumara (SL),49863,1994-2001,23,2242,58,38.65,3.54,65.3,4,0
Rahat Ali (PAK),323244,2013-2018,21,2264,58,39.03,3.21,72.8,2,0
MC Snedden (NZ),38398,1981-1990,25,2199,58,37.91,2.76,82.3,1,0
IS Sodhi (NZ),559066,2013-2024,21,2500,58,43.1,3.71,69.7,1,0
R Tattersall (ENG),21464,1951-1954,16,1513,58,26.08,2.14,72.8,4,1
TL Best (WI),51436,2003-2013,25,2291,57,40.19,3.69,65.1,2,0
AG Cremer (ZIM),55346,2005-2017,19,2604,57,45.68,3.7,73.9,1,0
RMS Eranga (SL),267414,2011-2016,19,2138,57,37.5,3.29,68.2,0,0
R Gilchrist (WI),51887,1957-1959,13,1521,57,26.68,2.82,56.6,1,0
Imran Tahir (SA),40618,2011-2015,20,2294,57,40.24,3.5,68.8,2,0
JR Ratnayeke (SL),50250,1982-1989,22,1972,56,35.21,3.08,68.4,4,0
BC Strang (ZIM),55756,1995-2001,26,2203,56,39.33,2.43,97,1,0
TW Wall (AUS),8142,1929-1934,18,2010,56,35.89,2.5,85.9,3,0
AR Patel (IND),554691,2021-2024,14,1064,55,19.34,2.51,46.1,5,1
CAK Rajitha (SL),499594,2018-2024,18,1627,55,29.58,3.25,54.4,2,0
RO Schwarz (SA),47168,1906-1912,20,1417,55,25.76,3.22,47.9,2,0
GC Small (ENG),20217,1986-1991,17,1871,55,34.01,2.85,71.4,2,0
UWMBCA Welegedara (SL),51019,2007-2014,21,2273,55,41.32,3.58,69,2,0
Aaqib Javed (PAK),38970,1989-1998,22,1874,54,34.7,2.86,72.5,1,0
GJ Gilmour (AUS),5396,1973-1977,15,1406,54,26.03,3.17,49.2,3,0
M Hayward (SA),45419,1999-2004,16,1609,54,29.79,3.42,52.2,1,0
Khan Mohammad (PAK),41043,1952-1958,13,1292,54,23.92,2.45,58.4,4,0
AMB Rowan (SA),47003,1947-1951,15,2084,54,38.59,2.4,96.1,4,0
Zulfiqar Babar (PAK),43871,2013-2016,15,2129,54,39.42,2.85,82.9,2,0
Asif Iqbal (PAK),39010,1964-1980,58,1502,53,28.33,2.33,72.9,2,0
AM Blignaut (ZIM),55259,2001-2005,19,1964,53,37.05,3.71,59.8,3,0
RJ Bright (AUS),4208,1977-1986,25,2180,53,41.13,2.36,104.5,4,1
RD King (WI),52294,1999-2005,19,1733,53,32.69,3.02,64.9,1,0
Mohammad Hafeez (PAK),41434,2003-2018,55,1808,53,34.11,2.66,76.7,0,0
SB O'Connor (NZ),38060,1997-2001,19,1724,53,32.52,2.82,69.1,1,0
KJ O'Keeffe (AUS),7002,1971-1977,24,2018,53,38.07,2.24,101.5,1,0
FA Rose (WI),52821,1997-2000,19,1637,53,30.88,3.14,58.9,2,0
CT Tremlett (ENG),21650,2007-2013,12,1431,53,27,2.95,54.7,2,0
CG Borde (IND),26962,1958-1969,55,2417,52,46.48,2.54,109.5,1,0
NGB Cook (ENG),10797,1983-1989,15,1689,52,32.48,2.42,80.2,4,1
SR Harmer (SA),432960,2015-2025,12,1352,52,26,3.05,51.1,1,0
C Kelleway (AUS),6132,1910-1928,26,1683,52,32.36,2.31,83.9,1,0
CR Matthews (SA),46189,1992-1995,18,1502,52,28.88,2.26,76.5,2,0
Nasim-ul-Ghani (PAK),42057,1958-1973,29,1959,52,37.67,2.66,84.7,2,0
JC Archer (ENG),669855,2019-2025,15,1562,51,30.62,2.98,61.5,3,0
NJ Astle (NZ),36185,1996-2006,81,2143,51,42.01,2.26,111.5,0,0
W Barnes (ENG),8998,1880-1890,21,793,51,15.54,2.07,44.8,3,0
NG Cowans (ENG),10839,1982-1985,19,2003,51,39.27,3.48,67.6,2,0
RS Cunis (NZ),36628,1964-1972,20,1887,51,37,2.66,83.3,1,0
DAJ Holford (WI),52064,1966-1977,24,2009,51,39.39,2.5,94.4,1,0
S Joseph (WI),1356971,2024-2025,11,1105,51,21.66,3.81,34.1,4,0
JJC Lawson (WI),52413,2002-2005,13,1512,51,29.64,3.83,46.3,2,0
MR Marsh (AUS),272450,2014-2024,46,2061,51,40.41,3.55,68.2,1,0
Shabbir Ahmed (PAK),42632,2003-2005,10,1175,51,23.03,2.73,50.5,2,0
Wasim Raja (PAK),43553,1973-1985,57,1826,51,35.8,2.68,80,0,0
GJ Whittall (ZIM),55848,1993-2002,46,2088,51,40.94,2.67,91.8,0,0
W Bates (ENG),9037,1881-1887,15,821,50,16.42,2.08,47.2,4,1
DE Bollinger (AUS),4508,2009-2010,12,1296,50,25.92,3.23,48,2,0
MD Craig (NZ),497543,2014-2016,15,2326,50,46.52,3.8,73.3,1,1
BD Julien (WI),52208,1973-1977,24,1868,50,37.36,2.46,90.8,1,0
KD Mackay (AUS),6445,1956-1963,37,1721,50,34.42,1.78,115.8,2,0
EP Nupen (SA),46594,1921-1936,17,1788,50,35.76,2.57,83.1,5,1
G Ulyett (ENG),22146,1877-1890,25,1020,50,20.4,2.32,52.5,1,0
JC Alabaster (NZ),36175,1955-1972,21,1863,49,38.02,2.8,81.4,0,0
RDB Croft (ENG),10881,1996-2001,21,1825,49,37.24,2.37,94.2,1,0
C de Grandhomme (NZ),55395,2016-2022,29,1615,49,32.95,2.39,82.7,1,0
JT Hearne (ENG),14133,1892-1899,12,1082,49,22.08,2.18,60.7,4,1
WP Howell (AUS),5716,1898-1904,18,1407,49,28.71,2.16,79.4,1,0
R Rampaul (WI),52912,2009-2012,18,1705,49,34.79,2.97,70.2,0,0
Taskin Ahmed (BAN),538506,2017-2024,17,1924,49,39.26,3.63,64.8,1,0
KD Walters (AUS),8151,1965-1981,74,1425,49,29.08,2.59,67.2,1,0
JC White (ENG),22408,1921-1931,15,1581,49,32.26,1.97,97.9,3,1
RG Archer (AUS),3980,1953-1956,19,1318,48,27.45,2.21,74.5,1,0
AJ Bell (SA),44065,1929-1935,16,1567,48,32.64,2.81,69.6,4,0
KMDN Kulasekara (SL),49535,2005-2014,21,1794,48,37.37,3.01,74.3,0,0
CB Llewellyn (SA),45996,1896-1912,15,1421,48,29.6,3.71,47.7,4,1
Nayeem Hasan (BAN),932635,2018-2025,14,1371,48,28.56,3.09,55.3,4,0
Shahid Afridi (PAK),42639,1998-2010,27,1709,48,35.6,3.21,66.5,1,0
OG Smith (WI),52941,1955-1959,26,1625,48,33.85,2.2,92.3,1,0
S Abid Ali (IND),26169,1967-1974,29,1980,47,42.12,2.85,88.5,1,0
DS Atkinson (WI),51134,1948-1958,22,1647,47,35.04,1.9,110.6,3,0
RMH Binny (IND),26948,1979-1987,27,1534,47,32.63,3.2,61,2,0
LC Braund (ENG),9203,1901-1908,23,1810,47,38.51,2.85,80.9,3,0
GS Chappell (AUS),4558,1970-1984,87,1913,47,40.7,2.15,113.3,1,0
RK Chauhan (IND),27622,1993-1998,21,1857,47,39.51,2.34,101,0,0
SM Curran (ENG),662973,2018-2021,24,1669,47,35.51,3.23,65.7,0,0
BL D'Oliveira (ENG),11914,1966-1972,44,1859,47,39.55,1.95,121.4,0,0
SJ Pegler (SA),46745,1910-1924,16,1572,47,33.44,3.15,63.5,2,0
ERH Toshack (AUS),7960,1946-1948,12,989,47,21.04,1.88,66.8,4,1
Abrar Ahmed (PAK),734459,2022-2025,10,1580,46,34.34,3.6,57.1,2,1
G Geary (ENG),13347,1924-1934,14,1353,46,29.41,2.13,82.8,4,1
RA Harper (WI),52045,1983-1993,25,1291,46,28.06,2.14,78.5,1,0
HV Hordern (AUS),5706,1911-1912,7,1075,46,23.36,3,46.6,5,2
KM Jarvis (ZIM),332996,2011-2020,13,1354,46,29.43,3.23,54.5,3,0
Saleem Altaf (PAK),42616,1967-1978,21,1710,46,37.17,2.56,86.9,0,0
SR Tendulkar (IND),35320,1989-2013,200,2492,46,54.17,3.52,92.1,0,0
L Amarnath (IND),26223,1933-1952,24,1481,45,32.91,2.09,94.2,2,0
FR Brown (ENG),9255,1931-1953,22,1398,45,31.06,2.57,72.4,1,0
J Cowie (NZ),36616,1937-1949,9,969,45,21.53,2.86,45,4,1
WW Davis (WI),51643,1983-1988,15,1472,45,32.71,3.18,61.6,0,0
JWHT Douglas (ENG),11927,1911-1925,23,1486,45,33.02,3.17,62.4,1,0
FR Foster (ENG),12875,1911-1912,11,926,45,20.57,2.27,54.3,4,0
AJ Hall (SA),45396,2002-2007,21,1617,45,35.93,3.23,66.6,0,0
CG Macartney (AUS),6434,1907-1926,35,1240,45,27.55,2.08,79.1,2,1
I Meckiff (AUS),6598,1957-1963,18,1423,45,31.62,2.28,82.9,2,0
IAR Peebles (ENG),18488,1927-1931,13,1391,45,30.91,2.89,64,3,0
D Ramnarine (WI),52805,1998-2002,12,1383,45,30.73,2.37,77.6,1,0
Rashid Khan (AFG),793463,2018-2025,6,920,45,20.44,2.96,41.4,5,3
WM Clark (AUS),4584,1977-1979,10,1265,44,28.75,2.71,63.4,0,0
Enamul Haque jnr (BAN),55882,2003-2013,15,1787,44,40.61,3.01,80.7,3,1
HC Griffith (WI),51909,1928-1933,13,1243,44,28.25,2.8,60.5,2,0
WE Hollies (ENG),14240,1935-1950,13,1332,44,30.27,2.24,80.7,5,0
IJ Jones (ENG),15547,1964-1968,15,1769,44,40.2,2.99,80.5,1,0
NAM McLean (WI),52430,1998-2001,19,1873,44,42.56,3.4,74.9,0,0
KD Mills (NZ),37740,2004-2009,19,1453,44,33.02,3,65.9,0,0
A Nehra (IND),31820,1999-2004,17,1866,44,42.4,3.24,78.3,0,0
JT Partridge (SA),46736,1963-1965,11,1373,44,31.2,2.23,83.7,3,0
CPH Ramanayake (SL),50240,1988-1993,18,1880,44,42.72,3.08,83,1,0
RW Blair (NZ),36300,1953-1964,19,1515,43,35.23,2.57,81.9,0,0
WJ Cronje (SA),44485,1992-2000,68,1288,43,29.95,2.03,88.3,0,0
CE Cuffy (WI),51487,1994-2002,15,1455,43,33.83,2.59,78.2,0,0
DM de Silva (SL),465793,2016-2025,65,2301,43,53.51,3.32,96.4,0,0
EE Hemmings (ENG),14152,1982-1991,16,1825,43,42.44,2.46,103.1,1,0
AG Hurst (AUS),5732,1974-1979,12,1200,43,27.9,2.35,71,2,0
S Randiv (SL),50438,2010-2012,12,1613,43,37.51,3.07,73.1,1,0
WH Lockwood (ENG),16328,1893-1902,12,883,43,20.53,2.68,45.8,5,1
EA McDonald (AUS),6555,1921-1921,11,1431,43,33.27,2.97,67,2,0
Mahmudullah (BAN),56025,2009-2021,50,1958,43,45.53,3.43,79.6,1,0
RW Barber (ENG),8982,1960-1968,28,1806,42,43,3.16,81.5,0,0
ST Clarke (WI),51477,1978-1982,11,1170,42,27.85,2.83,58.9,1,0
JP Duminy (SA),44932,2008-2017,46,1601,42,38.11,3.55,64.3,0,0
Ebadot Hossain (BAN),932355,2019-2025,21,2035,42,48.45,3.59,80.9,1,0
LO Fleetwood-Smith (AUS),5327,1935-1938,10,1570,42,37.38,3.04,73.6,2,1
RF Surti (IND),34174,1960-1969,26,1962,42,46.71,3.04,92.1,1,0
SD Anurasiri (SL),48120,1986-1998,18,1548,41,37.75,2.33,96.9,0,0
Arshad Ayub (IND),26290,1987-1989,13,1438,41,35.07,2.35,89.3,3,0
WJ Edrich (ENG),12492,1938-1955,39,1693,41,41.29,3.14,78.8,0,0
SB Joshi (IND),29725,1996-2000,15,1470,41,35.85,2.55,84.1,1,0
P Lever (ENG),16262,1970-1975,17,1509,41,36.8,2.53,87,2,0
MS Nichols (ENG),18021,1930-1939,14,1152,41,28.09,2.69,62.5,2,0
AW Nourse (SA),46590,1902-1924,45,1553,41,37.87,2.88,78.8,0,0
LE Plunkett (ENG),19264,2005-2014,13,1536,41,37.46,3.46,64.8,1,0
MJ Procter (SA),46793,1967-1970,7,616,41,15.02,2.44,36.9,1,0
GS Ramchand (IND),33062,1952-1960,33,1899,41,46.31,2.28,121.3,1,0
MN Samuels (WI),52983,2000-2016,71,2445,41,59.63,3.34,107.1,0,0
EJ Barlow (SA),44045,1961-1970,30,1362,40,34.05,2.7,75.5,1,0
AE Hall (SA),45394,1923-1931,7,886,40,22.15,2.25,59,3,1
ACB Langton (SA),46132,1935-1939,15,1827,40,45.67,2.61,104.9,1,0
V Pollard (NZ),38129,1965-1973,32,1853,40,46.32,2.51,110.5,0,0
JSE Price (ENG),18616,1964-1972,15,1401,40,35.02,3.08,68.1,1,0
V Sehwag (ICC/IND),35263,2001-2013,104,1894,40,47.35,3.04,93.2,1,0
Sikandar Raza (ZIM),299572,2013-2025,22,1782,40,44.55,3.2,83.3,2,0
RP Singh (IND),35280,2006-2011,14,1682,40,42.05,3.98,63.3,1,0
W Watson (NZ),38742,1986-1993,15,1387,40,34.67,2.38,87.1,1,0
KJ Abbott (SA),297583,2013-2017,11,886,39,22.71,2.55,53.3,3,0
Azhar Mahmood (PAK),39024,1997-2001,21,1402,39,35.94,2.79,77.3,0,0
AR Border (AUS),4174,1978-1994,156,1525,39,39.1,2.28,102.7,2,1
JN Crawford (ENG),10866,1906-1908,12,1150,39,29.48,3.13,56.4,3,0
TM Dilshan (SL),48472,1999-2013,87,1711,39,43.87,3.03,86.7,0,0
PJ Loader (ENG),16324,1954-1959,13,878,39,22.51,1.97,68.2,1,0
W O'Rourke (NZ),1211825,2024-2025,11,947,39,24.28,3.63,40,2,0
CG Rackemann (AUS),7302,1982-1991,12,1137,39,29.15,2.5,69.7,3,1
GB Troup (NZ),38617,1976-1986,15,1454,39,37.28,2.74,81.6,1,1
MR Whitney (AUS),8220,1981-1992,12,1325,39,33.97,2.97,68.5,2,1
Asif Masood (PAK),39012,1969-1977,16,1568,38,41.26,3.09,79.9,1,0
PWA Mulder (SA),698189,2019-2025,22,953,38,25.07,2.99,50.2,0,0
RJ Peterson (SA),46750,2003-2014,15,1416,38,37.26,3.37,66.1,1,0
Sohag Gazi (BAN),444135,2012-2014,10,1599,38,42.07,3.04,82.9,2,0
UDU Chandana (SL),48369,1999-2005,16,1535,37,41.48,3.43,72.5,3,1
DS de Silva (SL),48454,1982-1984,12,1347,37,36.4,2.66,81.9,1,0
JDF Larter (ENG),16205,1962-1965,10,941,37,25.43,2.59,58.7,2,0
FJ Laver (AUS),6402,1899-1909,15,964,37,26.05,2.44,63.8,2,0
EA Martindale (WI),52424,1933-1939,10,804,37,21.72,3,43.3,3,0
DL Piedt (SA),379926,2014-2024,12,1521,37,41.1,3.76,65.5,2,0
PADLR Sandakan (SL),429738,2016-2018,11,1276,37,34.48,3.71,55.7,2,0
BN Schultz (SA),47165,1992-1997,9,749,37,20.24,2.59,46.8,2,0
PM Such (ENG),20404,1993-1999,11,1242,37,33.56,2.38,84.4,2,0
PL Symcox (SA),47267,1993-1998,20,1603,37,43.32,2.7,96.2,0,0
DM Bess (ENG),646847,2018-2021,14,1223,36,33.97,2.93,69.5,2,0
BA Carse (ENG),596417,2024-2025,9,1084,36,30.11,3.48,51.8,1,1
RM Cowper (AUS),4645,1964-1968,27,1139,36,31.63,2.27,83.4,0,0
WW Daniel (WI),51639,1976-1984,10,910,36,25.27,3.11,48.7,1,0
TW Garrett (AUS),5364,1877-1888,19,970,36,26.94,2.13,75.7,2,0
AER Gilligan (ENG),13372,1922-1925,11,1046,36,29.05,2.61,66.7,2,1
SJ McCabe (AUS),6540,1930-1938,39,1543,36,42.86,2.47,104,0,0
CN McCarthy (SA),46196,1948-1951,15,1510,36,41.94,2.58,97.1,2,0
CL McCool (AUS),6545,1946-1950,14,958,36,26.61,2.29,69.5,3,0
EL McCormick (AUS),6546,1935-1938,12,1079,36,29.97,3.07,58.5,0,0
Q McMillan (SA),46216,1929-1932,13,1243,36,34.52,3.69,56.1,2,0
MJ Potts (ENG),1027781,2022-2024,10,1060,36,29.44,3.11,56.6,0,0
Rubel Hossain (BAN),300619,2009-2020,27,2764,36,76.77,3.92,117.3,1,0
Saleem Jaffar (PAK),42879,1986-1992,14,1139,36,31.63,2.7,70.3,1,0
Shahid Nazir (PAK),42646,1996-2007,15,1272,36,35.33,3.41,62,1,0
ML Su'a (NZ),38409,1992-1995,13,1377,36,38.25,2.9,78.9,2,0
Tapash Baisya (BAN),56176,2002-2005,21,2137,36,59.36,3.8,93.6,0,0
RRS Cornwall (WI),494581,2019-2023,10,1316,35,37.6,2.85,78.8,2,1
RM Ellison (ENG),12507,1984-1986,11,1048,35,29.94,2.77,64.6,3,1
C Green (AUS),1076713,2020-2025,32,1236,35,35.31,3.38,62.5,1,0
Hasan Mahmud (BAN),926629,2024-2025,13,1066,35,30.45,3.52,51.7,2,0
G Motie (WI),670045,2022-2025,11,946,35,27.02,3.26,49.7,2,1
SNJ O'Keefe (AUS),7069,2014-2017,9,1029,35,29.4,2.77,63.6,2,1
MM Patel (IND),32965,2006-2011,13,1349,35,38.54,3.04,75.9,0,0
NA Quinn (SA),46952,1929-1932,12,1145,35,32.71,2.35,83.4,1,0
DT Ring (AUS),7357,1948-1953,13,1305,35,37.28,2.58,86.4,2,0
SJ Snooke (SA),47217,1906-1923,26,702,35,20.05,2.6,46.2,1,1
PR Umrigar (IND),35577,1948-1962,59,1473,35,42.08,1.87,135,2,0
Washington Sundar (IND),719715,2021-2025,15,1059,35,30.25,3.35,54.1,1,1
Inshan Ali (WI),51103,1971-1977,12,1621,34,47.67,2.61,109.3,1,0
RG Barlow (ENG),8992,1881-1887,17,767,34,22.55,1.87,72.2,3,0
JM Bird (AUS),215152,2012-2017,9,1042,34,30.64,3.23,56.8,1,0
HB Cave (NZ),36600,1949-1958,19,1467,34,43.14,2.16,119.8,0,0
AIC Dodemaide (AUS),4964,1987-1992,10,953,34,28.02,2.61,64.2,1,0
W Ferguson (WI),51788,1948-1954,8,1165,34,34.26,2.72,75.5,3,1
EW Freeman (AUS),5258,1968-1970,11,1128,34,33.17,3.1,64.2,0,0
RG Holland (AUS),5692,1984-1986,11,1352,34,39.76,2.8,84.9,3,2
LF Kline (AUS),6159,1957-1961,13,776,34,22.82,1.96,69.7,1,0
KR Mayers (WI),348056,2021-2023,18,622,34,18.29,2.44,44.8,1,0
Mohammad Nazir (PAK),41294,1969-1983,14,1124,34,33.05,2.06,95.9,3,0
Tahir Naqqash (PAK),43271,1982-1985,15,1398,34,41.11,2.99,82.3,2,0
BW Yuile (NZ),38930,1963-1969,17,1213,34,35.67,2.51,85.2,0,0
TB Burtt (NZ),36316,1947-1953,10,1170,33,35.45,2.7,78.5,3,0
A Dananjaya (SL),574178,2018-2019,6,819,33,24.81,3.54,41.9,4,0
VC Drakes (WI),51655,2002-2004,12,1362,33,41.27,3.12,79.3,1,0
N Gifford (ENG),13365,1964-1973,15,1026,33,31.09,1.99,93.4,1,0
JDC Goddard (WI),51889,1948-1957,27,1050,33,31.81,2.14,88.8,1,0
CE McLeod (AUS),6584,1894-1905,17,1325,33,40.15,2.35,102.2,2,0
AD Mathews (SL),49764,2009-2025,119,1798,33,54.48,2.71,120.5,0,0
SN Thakur (IND),475281,2018-2025,13,1024,33,31.03,3.81,48.8,1,0
TR Veivers (AUS),8103,1963-1967,21,1375,33,41.66,1.96,127,0,0
M Amarnath (IND),26225,1969-1988,69,1782,32,55.68,2.9,114.8,0,0
Arshad Khan (PAK),39005,1997-2005,9,960,32,30,2.26,79.3,1,0
HF Boyle (AUS),4183,1879-1884,12,641,32,20.03,2.2,54.4,1,0
PVD Chameera (SL),552152,2015-2021,12,1321,32,41.28,3.91,63.1,1,0
EW Clark (ENG),10739,1929-1934,8,899,32,28.09,2.79,60.3,1,0
SC Ganguly (IND),28779,1996-2008,113,1681,32,52.53,3.23,97.4,0,0
RO Jenkins (ENG),15495,1948-1952,9,1098,32,34.31,3.11,66.1,1,0
M Mbangwa (ZIM),55584,1996-2000,15,1006,32,31.43,2.32,81.1,0,0
G Onions (ENG),18389,2009-2012,9,957,32,29.9,3.57,50.1,1,0
CH Parkin (ENG),18428,1920-1924,10,1128,32,35.25,3.23,65.4,2,0
IVA Richards (WI),52812,1974-1991,121,1964,32,61.37,2.27,161.5,0,0
Shoaib Malik (PAK),42657,2001-2015,35,1519,32,47.46,3.36,84.7,0,0
KPJ Warnaweera (SL),50836,1986-1994,10,1021,32,31.9,2.62,72.9,0,0
R Appleyard (ENG),8554,1954-1956,9,554,31,17.87,2.08,51.4,1,0
EG Arnold (ENG),8565,1903-1907,10,788,31,25.41,2.81,54,1,0
Ata-ur-Rehman (PAK),39015,1992-1996,13,1071,31,34.54,3.25,63.6,0,0
MJ Clarke (AUS),4578,2004-2015,115,1184,31,38.19,2.91,78.5,2,0
AS Kennedy (ENG),15858,1922-1923,5,599,31,19.32,2.13,54.2,2,0
RAL Massie (AUS),6518,1972-1973,6,647,31,20.87,2.23,56,2,1
Mustafizur Rahman (BAN),330902,2015-2022,15,1139,31,36.74,3.18,69.1,0,0
T Panyangara (ZIM),55705,2004-2014,9,813,31,26.22,2.58,60.9,1,0
E Peate (ENG),18487,1881-1886,9,683,31,22.03,1.95,67.6,2,0
V Permaul (WI),274921,2012-2022,9,1183,31,38.16,3.35,68.1,1,0
GD Phillips (NZ),823509,2020-2024,15,963,31,31.06,3.6,51.6,1,0
PR Sleep (AUS),7630,1979-1990,14,1397,31,45.06,2.81,96.1,1,0
JC Tongue (ENG),857975,2023-2025,6,930,31,30,4.07,44.1,2,0
Abu Jayed (BAN),410763,2018-2021,13,1118,30,37.26,3.41,65.4,0,0
DH Brain (ZIM),55265,1992-1995,9,915,30,30.5,3.03,60.3,1,0
JA Hayes (NZ),37244,1951-1958,15,1217,30,40.56,2.72,89.1,0,0
JW Hearne (ENG),14135,1911-1926,24,1462,30,48.73,2.99,97.5,1,0
C Pringle (NZ),38133,1990-1995,14,1389,30,46.3,2.79,99.5,1,1
A Sanford (WI),52957,2002-2004,11,1316,30,43.86,3.56,73.9,0,0
KS Williamson (NZ),277906,2010-2024,105,1207,30,40.23,3.36,71.7,0,0
KF Barrington (ENG),9014,1955-1968,82,1300,29,44.82,2.87,93.6,0,0
MG Bevan (AUS),4144,1994-1998,18,703,29,24.24,3.28,44.3,1,1
KC Brathwaite (WI),348024,2011-2025,100,1558,29,53.72,3.32,96.8,1,0
PA de Silva (SL),48462,1984-2002,93,1208,29,41.65,2.79,89.4,0,0
PGH Fender (ENG),12828,1921-1929,13,1185,29,40.86,3.26,75.1,2,0
MN Hart (NZ),37237,1994-1995,14,1438,29,49.58,2.79,106.4,1,0
Imran Khan (PAK),316363,2014-2019,10,917,29,31.62,3.36,56.4,1,0
RR Jumadeen (WI),52209,1972-1979,12,1141,29,39.34,2.18,108.2,0,0
FM King (WI),52291,1953-1956,14,1159,29,39.96,2.42,98.9,1,0
CB Mpofu (ZIM),55633,2005-2017,15,1392,29,48,3.35,85.8,0,0
JM Patel (IND),32236,1955-1960,7,637,29,21.96,2.21,59.4,2,1
